label	occurrences	lines	activity	classification	disposition
Sec:MPV	1	126	active	section	Organizational label for source Section 2; covered across Blueprint Chapters 2, 9, 10, and 11; no standalone formalization.
MPV	1	135	active	definition	Source Definition 2.1; mapped to Blueprint definition def:mpv and the MPS core declarations.
section:graphical	1	157	active	section	Organizational label for graphical notation; Blueprint Chapter 2 supplies the notation; no standalone formalization.
eq:II_Aiplusk1	1	216	active	equation	Displayed identity supporting the canonical-form/BNT development in Blueprint Chapters 9--11; it is notation or an internal proof step, so no standalone formalization is warranted.
Ek	1	221	active	equation	Displayed identity supporting the canonical-form/BNT development in Blueprint Chapters 9--11; it is notation or an internal proof step, so no standalone formalization is warranted.
eq:II_CF1	1	240	active	equation	Displayed identity supporting the canonical-form/BNT development in Blueprint Chapters 9--11; it is notation or an internal proof step, so no standalone formalization is warranted.
eq:II_Psi_k	1	261	active	equation	Displayed identity supporting the canonical-form/BNT development in Blueprint Chapters 9--11; it is notation or an internal proof step, so no standalone formalization is warranted.
eq:II:A=XAX	1	266	active	equation	Displayed identity supporting the canonical-form/BNT development in Blueprint Chapters 9--11; it is notation or an internal proof step, so no standalone formalization is warranted.
prop:char-BNT	1	278	active	theorem-like	Source Proposition 2.7 and its Appendix A restatement; literal status is Blueprint thm:cpsv_prop27_printed_status, while the corrected active-block theorem is thm:cpsv_bnt_characterization and is Lean-formalized; gap: cpsv16_bnt_characterization_active_blocks.tex.
eq:II_ABasicTensors	1	286	active	equation	Displayed identity supporting the canonical-form/BNT development in Blueprint Chapters 9--11; it is notation or an internal proof step, so no standalone formalization is warranted.
eq:II_X	1	295	active	equation	Displayed identity supporting the canonical-form/BNT development in Blueprint Chapters 9--11; it is notation or an internal proof step, so no standalone formalization is warranted.
decBSV	1	300	active	equation	Displayed identity supporting the canonical-form/BNT development in Blueprint Chapters 9--11; it is notation or an internal proof step, so no standalone formalization is warranted.
Eq19	1	306	active	figure	Graphical display supporting the canonical-form/BNT development in Blueprint Chapters 9--11; it is notation or an internal proof step, so no standalone formalization is warranted.
defnbi	1	318	active	definition	Source Definition 2.8; injectivity maps to Blueprint def:injective, while biCF is represented by the block-injective canonical-form development.
injectivity	1	328	active	figure	Graphical display supporting the canonical-form/BNT development in Blueprint Chapters 9--11; it is notation or an internal proof step, so no standalone formalization is warranted.
biCF	1	336	inactive	figure	Commented-out graphical label in the archived source. It is counted lexically but is inactive and has no standalone formalization target.
propblockinj	1	343	active	theorem-like	Source Proposition 2.9; mapped to the sharp block-injectivity Blueprint theorem and MPSTensor.IsCPSVCanonicalForm.exists_bnt_biCF_after_blocking_le_three_bondDim_pow_five.
thm1	2	350,1168	active	theorem-like	Source Theorem 2.10 occurs twice, statement and Appendix A restatement; literal status is Blueprint thm:cpsv_theorem210_printed_status; the corrected active nonzero SectorBNT result is thm:cpgsv_multiblock_ft_source and is Lean-formalized; gap: cpsv16_bnt_uniqueness_zero_coefficient.tex.
